Archive_Date,Adult_Child,Age_Profile,Case_Type,Speciality_Name,Specialty_HIPE,Time_Bands,Total,Source.Name
09-01-2020,Child,0-15,Outpatient,Ophthalmology,H08,9-12 Months,16,Hospital_DB_Extract.xlsx
31-10-2018,Adult,16-64,Day Case,General Surgery,H06,12-15 Months,40,Hospital_DB_Extract.xlsx
30-11-2019,Adult,65+,Outpatient,Otolaryngology (ENT),H02,0-3 Months,61,Hospital_DB_Extract.xlsx
07-09-2019,Adult,16-64,Outpatient,General Surgery,H06,18+ Months,100,Hospital_DB_Extract.xlsx
20-05-2019,Child,0-15,Outpatient,Paediatric Urology,H05,0-3 Months,24,Hospital_DB_Extract.xlsx
18-06-2018,Adult,65+,Inpatient,Cardiology,H07,3-6 Months,12,Hospital_DB_Extract.xlsx
30-09-2020,Adult,16-64,Outpatient,General Surgery,H06,3-6 Months,16,Hospital_DB_Extract.xlsx
28-10-2019,Child,0-15,Outpatient,Otolaryngology (ENT),H02,15-18 Months,72,Hospital_DB_Extract.xlsx
29-06-2018,Adult,65+,Outpatient,Otolaryngology (ENT),H02,0-3 Months,125,Hospital_DB_Extract.xlsx
07-02-2020,Child,0-15,Inpatient,Paed Orthopaedic,H03,9-12 Months,4,Hospital_DB_Extract.xlsx
05-06-2018,Child,0-15,Day Case,Paediatric Dermatology,H04,15-18 Months,81,Hospital_DB_Extract.xlsx
22-07-2019,Child,0-15,Day Case,Paediatric Dermatology,H04,3-6 Months,98,Hospital_DB_Extract.xlsx
15-01-2019,Child,0-15,Outpatient,Cardiology,H07,18+ Months,134,Hospital_DB_Extract.xlsx
11-06-2019,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,15-18 Months,126,Hospital_DB_Extract.xlsx
11-07-2020,Adult,16-64,Outpatient,Ophthalmology,H08,0-3 Months,102,Hospital_DB_Extract.xlsx
15-08-2019,Adult,16-64,Outpatient,Orthopaedics,H01,6-9 Months,24,Hospital_DB_Extract.xlsx
25-04-2020,Child,0-15,Outpatient,Paediatric Urology,H05,15-18 Months,95,Hospital_DB_Extract.xlsx
19-06-2018,Adult,16-64,Inpatient,Cardiology,H07,15-18 Months,77,Hospital_DB_Extract.xlsx
20-02-2019,Child,0-15,Inpatient,Otolaryngology (ENT),H02,3-6 Months,14,Hospital_DB_Extract.xlsx
28-04-2018,Adult,65+,Outpatient,Ophthalmology,H08,12-15 Months,56,Hospital_DB_Extract.xlsx
04-03-2020,Adult,65+,Day Case,General Surgery,H06,18+ Months,123,Hospital_DB_Extract.xlsx
13-06-2019,Adult,16-64,Outpatient,General Surgery,H06,3-6 Months,101,Hospital_DB_Extract.xlsx
20-10-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,0-3 Months,121,Hospital_DB_Extract.xlsx
04-12-2020,Child,0-15,Day Case,Paediatric Urology,H05,12-15 Months,12,Hospital_DB_Extract.xlsx
20-07-2018,Child,0-15,Outpatient,General Surgery,H06,0-3 Months,128,Hospital_DB_Extract.xlsx
01-03-2020,Adult,16-64,Outpatient,Ophthalmology,H08,0-3 Months,34,Hospital_DB_Extract.xlsx
13-08-2018,Adult,16-64,Outpatient,Ophthalmology,H08,6-9 Months,63,Hospital_DB_Extract.xlsx
26-04-2018,Child,0-15,Outpatient,Paediatric Urology,H05,3-6 Months,55,Hospital_DB_Extract.xlsx
21-07-2020,Adult,16-64,Outpatient,General Surgery,H06,6-9 Months,99,Hospital_DB_Extract.xlsx
01-07-2018,Child,0-15,Outpatient,Paediatric Dermatology,H04,3-6 Months,147,Hospital_DB_Extract.xlsx
07-05-2018,Child,0-15,Inpatient,Paediatric Dermatology,H04,3-6 Months,128,Hospital_DB_Extract.xlsx
06-04-2020,Child,0-15,Outpatient,General Surgery,H06,3-6 Months,140,Hospital_DB_Extract.xlsx
28-04-2020,Child,0-15,Inpatient,Cardiology,H07,15-18 Months,131,Hospital_DB_Extract.xlsx
03-07-2019,Adult,16-64,Inpatient,Cardiology,H07,18+ Months,12,Hospital_DB_Extract.xlsx
28-12-2018,Adult,65+,Outpatient,Ophthalmology,H08,3-6 Months,137,Hospital_DB_Extract.xlsx
26-02-2020,Child,0-15,Day Case,Paed Orthopaedic,H03,18+ Months,75,Hospital_DB_Extract.xlsx
16-10-2019,Adult,65+,Outpatient,Ophthalmology,H08,6-9 Months,147,Hospital_DB_Extract.xlsx
26-11-2019,Child,0-15,Outpatient,Paediatric Dermatology,H04,0-3 Months,53,Hospital_DB_Extract.xlsx
23-04-2019,Child,0-15,Day Case,Otolaryngology (ENT),H02,18+ Months,107,Hospital_DB_Extract.xlsx
24-11-2018,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,6-9 Months,44,Hospital_DB_Extract.xlsx
17-12-2019,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,13,Hospital_DB_Extract.xlsx
27-02-2020,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,0-3 Months,90,Hospital_DB_Extract.xlsx
28-02-2020,Child,0-15,Outpatient,Paediatric Urology,H05,3-6 Months,101,Hospital_DB_Extract.xlsx
03-09-2018,Child,0-15,Day Case,Paed Orthopaedic,H03,3-6 Months,8,Hospital_DB_Extract.xlsx
21-12-2018,Adult,65+,Inpatient,Otolaryngology (ENT),H02,12-15 Months,119,Hospital_DB_Extract.xlsx
11-12-2018,Child,0-15,Outpatient,Paediatric Urology,H05,6-9 Months,30,Hospital_DB_Extract.xlsx
09-09-2018,Adult,16-64,Outpatient,Ophthalmology,H08,0-3 Months,60,Hospital_DB_Extract.xlsx
17-08-2018,Adult,65+,Day Case,Cardiology,H07,18+ Months,1,Hospital_DB_Extract.xlsx
25-08-2020,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,145,Hospital_DB_Extract.xlsx
12-02-2018,Adult,65+,Outpatient,General Surgery,H06,18+ Months,43,Hospital_DB_Extract.xlsx
05-04-2019,Adult,65+,Outpatient,Cardiology,H07,18+ Months,88,Hospital_DB_Extract.xlsx
05-02-2019,Adult,16-64,Outpatient,Cardiology,H07,15-18 Months,106,Hospital_DB_Extract.xlsx
02-12-2018,Adult,16-64,Inpatient,Otolaryngology (ENT),H02,6-9 Months,64,Hospital_DB_Extract.xlsx
18-12-2020,Adult,16-64,Outpatient,Cardiology,H07,9-12 Months,102,Hospital_DB_Extract.xlsx
05-10-2019,Child,0-15,Outpatient,Paediatric Urology,H05,15-18 Months,150,Hospital_DB_Extract.xlsx
30-10-2018,Adult,16-64,Outpatient,Ophthalmology,H08,18+ Months,96,Hospital_DB_Extract.xlsx
21-04-2020,Adult,65+,Day Case,Cardiology,H07,15-18 Months,122,Hospital_DB_Extract.xlsx
04-01-2018,Child,0-15,Outpatient,Paediatric Dermatology,H04,0-3 Months,54,Hospital_DB_Extract.xlsx
10-10-2019,Adult,16-64,Day Case,Cardiology,H07,0-3 Months,51,Hospital_DB_Extract.xlsx
16-07-2020,Adult,65+,Outpatient,Cardiology,H07,18+ Months,65,Hospital_DB_Extract.xlsx
20-12-2018,Child,0-15,Outpatient,Paed Orthopaedic,H03,0-3 Months,52,Hospital_DB_Extract.xlsx
04-08-2020,Adult,16-64,Day Case,Otolaryngology (ENT),H02,0-3 Months,125,Hospital_DB_Extract.xlsx
10-06-2018,Child,0-15,Outpatient,Paediatric Urology,H05,0-3 Months,66,Hospital_DB_Extract.xlsx
15-04-2019,Child,0-15,Outpatient,Paediatric Dermatology,H04,12-15 Months,21,Hospital_DB_Extract.xlsx
04-04-2018,Adult,16-64,Day Case,Ophthalmology,H08,3-6 Months,102,Hospital_DB_Extract.xlsx
18-11-2018,Child,0-15,Day Case,Ophthalmology,H08,3-6 Months,14,Hospital_DB_Extract.xlsx
30-09-2019,Adult,16-64,Outpatient,General Surgery,H06,18+ Months,91,Hospital_DB_Extract.xlsx
13-06-2019,Adult,16-64,Outpatient,Cardiology,H07,6-9 Months,54,Hospital_DB_Extract.xlsx
03-05-2019,Child,0-15,Outpatient,General Surgery,H06,15-18 Months,111,Hospital_DB_Extract.xlsx
26-09-2018,Adult,65+,Outpatient,Otolaryngology (ENT),H02,3-6 Months,65,Hospital_DB_Extract.xlsx
13-08-2020,Adult,16-64,Outpatient,Cardiology,H07,12-15 Months,133,Hospital_DB_Extract.xlsx
24-09-2019,Adult,65+,Outpatient,Orthopaedics,H01,12-15 Months,96,Hospital_DB_Extract.xlsx
15-06-2018,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,15-18 Months,117,Hospital_DB_Extract.xlsx
21-02-2018,Adult,65+,Outpatient,Cardiology,H07,15-18 Months,23,Hospital_DB_Extract.xlsx
03-02-2020,Child,0-15,Inpatient,Paed Orthopaedic,H03,18+ Months,132,Hospital_DB_Extract.xlsx
14-03-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,18+ Months,89,Hospital_DB_Extract.xlsx
13-02-2018,Adult,65+,Outpatient,Orthopaedics,H01,9-12 Months,119,Hospital_DB_Extract.xlsx
23-03-2019,Adult,16-64,Outpatient,Cardiology,H07,18+ Months,47,Hospital_DB_Extract.xlsx
05-01-2018,Child,0-15,Outpatient,Ophthalmology,H08,18+ Months,121,Hospital_DB_Extract.xlsx
23-02-2020,Adult,65+,Outpatient,General Surgery,H06,3-6 Months,94,Hospital_DB_Extract.xlsx
03-08-2019,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,106,Hospital_DB_Extract.xlsx
07-06-2019,Adult,65+,Outpatient,General Surgery,H06,9-12 Months,32,Hospital_DB_Extract.xlsx
07-11-2019,Adult,16-64,Outpatient,Cardiology,H07,6-9 Months,130,Hospital_DB_Extract.xlsx
15-12-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,18+ Months,87,Hospital_DB_Extract.xlsx
20-02-2018,Adult,16-64,Outpatient,General Surgery,H06,12-15 Months,16,Hospital_DB_Extract.xlsx
03-01-2018,Adult,16-64,Outpatient,Cardiology,H07,0-3 Months,101,Hospital_DB_Extract.xlsx
21-05-2018,Child,0-15,Outpatient,Paed Orthopaedic,H03,6-9 Months,27,Hospital_DB_Extract.xlsx
19-07-2020,Child,0-15,Outpatient,Orthopaedics,H01,3-6 Months,150,Hospital_DB_Extract.xlsx
30-07-2019,Adult,16-64,Inpatient,Ophthalmology,H08,18+ Months,81,Hospital_DB_Extract.xlsx
19-09-2019,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,14,Hospital_DB_Extract.xlsx
28-06-2018,Child,0-15,Outpatient,Paediatric Dermatology,H04,3-6 Months,48,Hospital_DB_Extract.xlsx
06-07-2020,Child,0-15,Outpatient,Ophthalmology,H08,0-3 Months,81,Hospital_DB_Extract.xlsx
22-09-2020,Adult,16-64,Day Case,Ophthalmology,H08,18+ Months,43,Hospital_DB_Extract.xlsx
12-02-2019,Child,0-15,Day Case,Paed Orthopaedic,H03,15-18 Months,134,Hospital_DB_Extract.xlsx
03-02-2018,Child,0-15,Outpatient,Cardiology,H07,9-12 Months,9,Hospital_DB_Extract.xlsx
30-10-2018,Adult,16-64,Outpatient,General Surgery,H06,12-15 Months,81,Hospital_DB_Extract.xlsx
09-09-2019,Child,0-15,Day Case,Paed Orthopaedic,H03,6-9 Months,70,Hospital_DB_Extract.xlsx
26-11-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,3-6 Months,37,Hospital_DB_Extract.xlsx
20-05-2020,Adult,65+,Outpatient,Orthopaedics,H01,12-15 Months,18,Hospital_DB_Extract.xlsx
24-05-2019,Adult,16-64,Outpatient,Cardiology,H07,18+ Months,146,Hospital_DB_Extract.xlsx
21-12-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,6-9 Months,24,Hospital_DB_Extract.xlsx
06-02-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,3-6 Months,119,Hospital_DB_Extract.xlsx
03-09-2020,Adult,65+,Day Case,General Surgery,H06,0-3 Months,75,Hospital_DB_Extract.xlsx
22-07-2018,Child,0-15,Day Case,Paediatric Urology,H05,12-15 Months,19,Hospital_DB_Extract.xlsx
01-05-2019,Adult,16-64,Outpatient,Orthopaedics,H01,12-15 Months,78,Hospital_DB_Extract.xlsx
20-07-2020,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,12-15 Months,103,Hospital_DB_Extract.xlsx
24-05-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,18+ Months,21,Hospital_DB_Extract.xlsx
14-11-2020,Adult,16-64,Day Case,Cardiology,H07,18+ Months,66,Hospital_DB_Extract.xlsx
18-03-2020,Child,0-15,Outpatient,Ophthalmology,H08,18+ Months,102,Hospital_DB_Extract.xlsx
29-12-2019,Adult,65+,Inpatient,Cardiology,H07,18+ Months,104,Hospital_DB_Extract.xlsx
22-10-2018,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,0-3 Months,46,Hospital_DB_Extract.xlsx
21-03-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,6-9 Months,65,Hospital_DB_Extract.xlsx
23-09-2019,Child,0-15,Day Case,Paed Orthopaedic,H03,18+ Months,61,Hospital_DB_Extract.xlsx
27-12-2020,Child,0-15,Outpatient,Otolaryngology (ENT),H02,0-3 Months,61,Hospital_DB_Extract.xlsx
06-03-2018,Adult,16-64,Day Case,Otolaryngology (ENT),H02,9-12 Months,81,Hospital_DB_Extract.xlsx
08-05-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,15-18 Months,8,Hospital_DB_Extract.xlsx
25-09-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,3-6 Months,68,Hospital_DB_Extract.xlsx
21-09-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,15-18 Months,4,Hospital_DB_Extract.xlsx
10-05-2019,Child,0-15,Outpatient,Paediatric Dermatology,H04,18+ Months,17,Hospital_DB_Extract.xlsx
03-08-2019,Adult,16-64,Inpatient,Cardiology,H07,3-6 Months,138,Hospital_DB_Extract.xlsx
02-12-2020,Adult,16-64,Outpatient,Ophthalmology,H08,6-9 Months,71,Hospital_DB_Extract.xlsx
23-03-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,6-9 Months,106,Hospital_DB_Extract.xlsx
22-10-2018,Child,0-15,Outpatient,Orthopaedics,H01,12-15 Months,11,Hospital_DB_Extract.xlsx
18-06-2018,Child,0-15,Outpatient,Cardiology,H07,18+ Months,9,Hospital_DB_Extract.xlsx
11-05-2019,Child,0-15,Inpatient,Paed Orthopaedic,H03,18+ Months,68,Hospital_DB_Extract.xlsx
22-07-2018,Child,0-15,Outpatient,Paed Orthopaedic,H03,6-9 Months,120,Hospital_DB_Extract.xlsx
10-01-2019,Adult,16-64,Outpatient,Cardiology,H07,18+ Months,25,Hospital_DB_Extract.xlsx
06-03-2018,Adult,16-64,Outpatient,Orthopaedics,H01,12-15 Months,40,Hospital_DB_Extract.xlsx
17-09-2020,Adult,65+,Day Case,Ophthalmology,H08,18+ Months,63,Hospital_DB_Extract.xlsx
09-05-2018,Adult,16-64,Outpatient,Ophthalmology,H08,18+ Months,20,Hospital_DB_Extract.xlsx
01-09-2019,Child,0-15,Outpatient,Paediatric Dermatology,H04,15-18 Months,91,Hospital_DB_Extract.xlsx
28-02-2020,Adult,16-64,Outpatient,Ophthalmology,H08,18+ Months,93,Hospital_DB_Extract.xlsx
14-06-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,18+ Months,103,Hospital_DB_Extract.xlsx
15-03-2019,Adult,16-64,Outpatient,Ophthalmology,H08,15-18 Months,84,Hospital_DB_Extract.xlsx
08-12-2018,Child,0-15,Day Case,Ophthalmology,H08,12-15 Months,133,Hospital_DB_Extract.xlsx
22-07-2018,Adult,16-64,Day Case,Cardiology,H07,15-18 Months,48,Hospital_DB_Extract.xlsx
27-03-2020,Child,0-15,Day Case,General Surgery,H06,6-9 Months,138,Hospital_DB_Extract.xlsx
03-07-2018,Child,0-15,Outpatient,Paediatric Urology,H05,15-18 Months,82,Hospital_DB_Extract.xlsx
03-04-2019,Adult,16-64,Outpatient,General Surgery,H06,18+ Months,62,Hospital_DB_Extract.xlsx
07-04-2019,Child,0-15,Outpatient,Paediatric Urology,H05,12-15 Months,3,Hospital_DB_Extract.xlsx
28-08-2020,Adult,65+,Outpatient,General Surgery,H06,0-3 Months,145,Hospital_DB_Extract.xlsx
25-09-2019,Child,0-15,Inpatient,Paediatric Urology,H05,9-12 Months,111,Hospital_DB_Extract.xlsx
17-03-2019,Adult,65+,Outpatient,Cardiology,H07,18+ Months,47,Hospital_DB_Extract.xlsx
21-08-2018,Adult,65+,Outpatient,Ophthalmology,H08,18+ Months,69,Hospital_DB_Extract.xlsx
19-04-2019,Child,0-15,Outpatient,Paediatric Dermatology,H04,18+ Months,149,Hospital_DB_Extract.xlsx
10-07-2018,Child,0-15,Outpatient,Otolaryngology (ENT),H02,9-12 Months,77,Hospital_DB_Extract.xlsx
16-02-2019,Child,0-15,Day Case,Paediatric Urology,H05,0-3 Months,17,Hospital_DB_Extract.xlsx
25-08-2018,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,15-18 Months,132,Hospital_DB_Extract.xlsx
27-09-2019,Adult,16-64,Outpatient,General Surgery,H06,18+ Months,15,Hospital_DB_Extract.xlsx
18-10-2020,Adult,16-64,Outpatient,General Surgery,H06,12-15 Months,84,Hospital_DB_Extract.xlsx
29-04-2019,Adult,65+,Outpatient,Cardiology,H07,9-12 Months,10,Hospital_DB_Extract.xlsx
24-01-2020,Adult,16-64,Outpatient,Ophthalmology,H08,12-15 Months,64,Hospital_DB_Extract.xlsx
19-07-2018,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,148,Hospital_DB_Extract.xlsx
02-09-2019,Adult,65+,Day Case,Cardiology,H07,18+ Months,45,Hospital_DB_Extract.xlsx
06-09-2018,Child,0-15,Day Case,Paediatric Urology,H05,9-12 Months,88,Hospital_DB_Extract.xlsx
24-12-2019,Adult,16-64,Outpatient,Orthopaedics,H01,15-18 Months,93,Hospital_DB_Extract.xlsx
12-04-2019,Adult,65+,Inpatient,Cardiology,H07,9-12 Months,128,Hospital_DB_Extract.xlsx
06-01-2018,Child,0-15,Outpatient,Paediatric Dermatology,H04,9-12 Months,56,Hospital_DB_Extract.xlsx
24-08-2018,Child,0-15,Outpatient,Paediatric Dermatology,H04,15-18 Months,116,Hospital_DB_Extract.xlsx
10-12-2020,Child,0-15,Outpatient,Otolaryngology (ENT),H02,0-3 Months,19,Hospital_DB_Extract.xlsx
19-02-2018,Child,0-15,Outpatient,Paed Orthopaedic,H03,3-6 Months,19,Hospital_DB_Extract.xlsx
30-08-2018,Adult,16-64,Day Case,General Surgery,H06,3-6 Months,12,Hospital_DB_Extract.xlsx
04-12-2019,Child,0-15,Outpatient,Paediatric Dermatology,H04,9-12 Months,37,Hospital_DB_Extract.xlsx
01-07-2020,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,47,Hospital_DB_Extract.xlsx
20-05-2020,Child,0-15,Outpatient,General Surgery,H06,9-12 Months,55,Hospital_DB_Extract.xlsx
03-06-2018,Adult,16-64,Inpatient,Ophthalmology,H08,9-12 Months,135,Hospital_DB_Extract.xlsx
22-12-2019,Adult,16-64,Outpatient,Ophthalmology,H08,9-12 Months,110,Hospital_DB_Extract.xlsx
10-12-2018,Child,0-15,Outpatient,Paediatric Urology,H05,12-15 Months,115,Hospital_DB_Extract.xlsx
16-06-2019,Adult,16-64,Outpatient,Ophthalmology,H08,18+ Months,109,Hospital_DB_Extract.xlsx
02-06-2019,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,3-6 Months,35,Hospital_DB_Extract.xlsx
12-02-2020,Child,0-15,Outpatient,Paediatric Urology,H05,9-12 Months,40,Hospital_DB_Extract.xlsx
28-11-2020,Child,0-15,Outpatient,Cardiology,H07,9-12 Months,54,Hospital_DB_Extract.xlsx
13-03-2020,Adult,16-64,Inpatient,Cardiology,H07,9-12 Months,23,Hospital_DB_Extract.xlsx
09-06-2019,Adult,16-64,Outpatient,Ophthalmology,H08,18+ Months,141,Hospital_DB_Extract.xlsx
25-07-2020,Child,0-15,Day Case,Paediatric Dermatology,H04,15-18 Months,75,Hospital_DB_Extract.xlsx
03-05-2020,Child,0-15,Day Case,Cardiology,H07,18+ Months,96,Hospital_DB_Extract.xlsx
10-03-2018,Child,0-15,Outpatient,Paediatric Dermatology,H04,9-12 Months,34,Hospital_DB_Extract.xlsx
03-05-2020,Adult,16-64,Outpatient,Ophthalmology,H08,3-6 Months,117,Hospital_DB_Extract.xlsx
06-04-2018,Child,0-15,Day Case,Paediatric Urology,H05,9-12 Months,99,Hospital_DB_Extract.xlsx
06-12-2020,Child,0-15,Day Case,Paediatric Urology,H05,15-18 Months,68,Hospital_DB_Extract.xlsx
23-12-2020,Adult,16-64,Outpatient,General Surgery,H06,3-6 Months,149,Hospital_DB_Extract.xlsx
14-04-2020,Child,0-15,Inpatient,Paediatric Urology,H05,6-9 Months,8,Hospital_DB_Extract.xlsx
15-01-2019,Adult,16-64,Outpatient,Ophthalmology,H08,18+ Months,6,Hospital_DB_Extract.xlsx
16-08-2018,Adult,16-64,Outpatient,General Surgery,H06,15-18 Months,66,Hospital_DB_Extract.xlsx
30-07-2019,Adult,65+,Outpatient,Cardiology,H07,18+ Months,134,Hospital_DB_Extract.xlsx
20-06-2018,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,137,Hospital_DB_Extract.xlsx
30-10-2019,Child,0-15,Outpatient,Ophthalmology,H08,18+ Months,61,Hospital_DB_Extract.xlsx
10-12-2018,Adult,16-64,Outpatient,Orthopaedics,H01,15-18 Months,108,Hospital_DB_Extract.xlsx
08-04-2020,Adult,16-64,Outpatient,Cardiology,H07,3-6 Months,63,Hospital_DB_Extract.xlsx
15-02-2018,Adult,16-64,Outpatient,Orthopaedics,H01,3-6 Months,113,Hospital_DB_Extract.xlsx
29-03-2019,Adult,65+,Day Case,Otolaryngology (ENT),H02,3-6 Months,9,Hospital_DB_Extract.xlsx
27-05-2018,Adult,16-64,Inpatient,Cardiology,H07,18+ Months,25,Hospital_DB_Extract.xlsx
17-09-2019,Child,0-15,Inpatient,Paed Orthopaedic,H03,6-9 Months,18,Hospital_DB_Extract.xlsx
04-10-2019,Child,0-15,Day Case,General Surgery,H06,18+ Months,52,Hospital_DB_Extract.xlsx
02-01-2018,Adult,16-64,Outpatient,General Surgery,H06,9-12 Months,93,Hospital_DB_Extract.xlsx
07-02-2018,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,15-18 Months,45,Hospital_DB_Extract.xlsx
25-11-2018,Child,0-15,Outpatient,Orthopaedics,H01,18+ Months,138,Hospital_DB_Extract.xlsx
17-10-2019,Child,0-15,Outpatient,Otolaryngology (ENT),H02,3-6 Months,50,Hospital_DB_Extract.xlsx
14-04-2019,Child,0-15,Outpatient,Otolaryngology (ENT),H02,6-9 Months,22,Hospital_DB_Extract.xlsx
16-07-2020,Adult,16-64,Outpatient,Orthopaedics,H01,18+ Months,84,Hospital_DB_Extract.xlsx
25-12-2020,Child,0-15,Inpatient,Paediatric Dermatology,H04,0-3 Months,116,Hospital_DB_Extract.xlsx
01-07-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,0-3 Months,129,Hospital_DB_Extract.xlsx
26-04-2018,Child,0-15,Outpatient,Otolaryngology (ENT),H02,18+ Months,46,Hospital_DB_Extract.xlsx
28-01-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,3-6 Months,90,Hospital_DB_Extract.xlsx
12-12-2019,Child,0-15,Outpatient,Paediatric Urology,H05,9-12 Months,118,Hospital_DB_Extract.xlsx
24-06-2018,Child,0-15,Outpatient,Paediatric Dermatology,H04,15-18 Months,117,Hospital_DB_Extract.xlsx
03-09-2019,Adult,16-64,Outpatient,Ophthalmology,H08,3-6 Months,100,Hospital_DB_Extract.xlsx
07-01-2019,Child,0-15,Day Case,Paediatric Urology,H05,18+ Months,146,Hospital_DB_Extract.xlsx
04-10-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,12-15 Months,117,Hospital_DB_Extract.xlsx
30-06-2020,Adult,16-64,Inpatient,Orthopaedics,H01,0-3 Months,46,Hospital_DB_Extract.xlsx
19-12-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,0-3 Months,102,Hospital_DB_Extract.xlsx
02-04-2019,Adult,65+,Outpatient,Otolaryngology (ENT),H02,18+ Months,33,Hospital_DB_Extract.xlsx
27-04-2018,Adult,65+,Outpatient,Otolaryngology (ENT),H02,15-18 Months,45,Hospital_DB_Extract.xlsx
07-07-2018,Adult,65+,Day Case,Otolaryngology (ENT),H02,3-6 Months,117,Hospital_DB_Extract.xlsx
08-08-2019,Adult,16-64,Outpatient,Orthopaedics,H01,6-9 Months,36,Hospital_DB_Extract.xlsx
30-06-2018,Child,0-15,Day Case,Cardiology,H07,3-6 Months,101,Hospital_DB_Extract.xlsx
09-02-2020,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,136,Hospital_DB_Extract.xlsx
26-08-2020,Child,0-15,Day Case,Paed Orthopaedic,H03,18+ Months,118,Hospital_DB_Extract.xlsx
02-12-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,12-15 Months,98,Hospital_DB_Extract.xlsx
25-04-2020,Adult,65+,Outpatient,Orthopaedics,H01,3-6 Months,57,Hospital_DB_Extract.xlsx
17-10-2020,Adult,16-64,Day Case,General Surgery,H06,18+ Months,129,Hospital_DB_Extract.xlsx
10-08-2018,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,137,Hospital_DB_Extract.xlsx
01-04-2020,Adult,65+,Outpatient,Cardiology,H07,18+ Months,147,Hospital_DB_Extract.xlsx
07-05-2018,Child,0-15,Outpatient,Paediatric Dermatology,H04,0-3 Months,47,Hospital_DB_Extract.xlsx
02-02-2019,Adult,65+,Outpatient,Orthopaedics,H01,3-6 Months,84,Hospital_DB_Extract.xlsx
05-08-2018,Adult,65+,Outpatient,Cardiology,H07,12-15 Months,103,Hospital_DB_Extract.xlsx
23-12-2019,Adult,16-64,Outpatient,Cardiology,H07,18+ Months,23,Hospital_DB_Extract.xlsx
08-07-2018,Adult,16-64,Outpatient,Cardiology,H07,0-3 Months,100,Hospital_DB_Extract.xlsx
29-06-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,18+ Months,132,Hospital_DB_Extract.xlsx
26-11-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,18+ Months,70,Hospital_DB_Extract.xlsx
21-10-2018,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,18+ Months,131,Hospital_DB_Extract.xlsx
12-06-2019,Adult,16-64,Inpatient,Otolaryngology (ENT),H02,18+ Months,98,Hospital_DB_Extract.xlsx
05-06-2019,Child,0-15,Day Case,Paed Orthopaedic,H03,9-12 Months,31,Hospital_DB_Extract.xlsx
21-12-2020,Adult,16-64,Outpatient,Ophthalmology,H08,18+ Months,136,Hospital_DB_Extract.xlsx
15-12-2020,Child,0-15,Outpatient,Orthopaedics,H01,0-3 Months,68,Hospital_DB_Extract.xlsx
28-05-2020,Child,0-15,Inpatient,Paediatric Urology,H05,0-3 Months,67,Hospital_DB_Extract.xlsx
12-01-2019,Child,0-15,Outpatient,General Surgery,H06,18+ Months,150,Hospital_DB_Extract.xlsx
21-09-2018,Child,0-15,Day Case,Paediatric Dermatology,H04,15-18 Months,57,Hospital_DB_Extract.xlsx
05-09-2018,Adult,16-64,Day Case,General Surgery,H06,18+ Months,44,Hospital_DB_Extract.xlsx
19-06-2020,Child,0-15,Outpatient,General Surgery,H06,12-15 Months,30,Hospital_DB_Extract.xlsx
25-09-2020,Adult,16-64,Outpatient,Orthopaedics,H01,9-12 Months,88,Hospital_DB_Extract.xlsx
02-05-2018,Adult,65+,Outpatient,General Surgery,H06,18+ Months,87,Hospital_DB_Extract.xlsx
